horizon,model,Test RMSE,Test MAE,Test MAPE (%),Test R²
h=1,Prophet,87.30557445180393,78.98488141256243,20.587697787362117,-3.8786903153968115
h=3,Prophet,87.30557445180393,78.98488141256243,20.587697787362117,-3.8786903153968115
h=6,Prophet,87.30557445180393,78.98488141256243,20.587697787362117,-3.8786903153968115
h=1,LightGBM,93.37150270774973,55.068928914273904,11.124565034156511,0.8553596983314365
h=3,LightGBM,103.72692558067746,62.30296637496197,12.711403347747266,0.8208278591532883
h=6,LightGBM,96.05628111146065,63.74312472224624,14.313739860435296,0.8018807370048202
h=1,LSTM,86.14097219003132,64.51283264160156,18.350760638713837,0.7946634888648987
h=3,LSTM,74.15246382032764,55.05031204223633,14.766070246696472,0.8391204476356506
h=6,LSTM,81.17141331678135,66.45116424560547,20.78282982110977,0.7832435369491577
