Horizon,Model,Test RMSE,Test MAPE (%),Test R²
h=1,Extra Trees,93.61667531488669,11.525262615925309,0.8519659616900941
h=3,Extra Trees,103.90645764668193,13.64942243117548,0.8168018230724665
h=6,Extra Trees,101.07631727136774,15.211724478534366,0.7785671828898274
