Horizon,Model,CV RMSE,Test RMSE,Test MAE,Test MAPE (%),Test R²
h=1,Ridge,60.91218448331281,101.40861069109322,60.27445389404679,12.128772129430471,0.8262979974888525
h=1,Random Forest,74.60755418650413,97.63523496275637,57.63579635959843,11.901462580279249,0.8389842679211479
h=1,Gradient Boosting,76.73452170806327,95.17553714526605,56.23907397954825,11.56798278420784,0.8469949262578031
h=1,Extra Trees,76.84270800595436,93.61667531488669,55.711001038733855,11.525262615925309,0.8519659616900941
h=3,Ridge,74.68143843443313,117.72817434131905,71.44104700915716,14.386272989631866,0.7648218944263443
h=3,Random Forest,94.82584477043021,109.56901539005335,67.62153031467432,14.192849218253798,0.796290357264859
h=3,Gradient Boosting,96.02137023984852,106.5697307512763,66.46240736450568,13.859810675402183,0.8072901975674451
h=3,Extra Trees,99.78656074629473,103.90645764668193,64.72574018652091,13.64942243117548,0.8168018230724665
h=6,Ridge,85.77595127515494,109.22279365604031,69.80576884226117,15.133943719484662,0.7414350064953946
h=6,Random Forest,109.2134373898995,107.07407317357737,69.32516553971155,15.839937331842888,0.751508342433034
h=6,Gradient Boosting,110.82110587402568,106.21220290898987,69.52259949098976,15.758879516245692,0.7554926052128521
h=6,Extra Trees,110.0785741343773,101.07631727136774,66.31138068974681,15.211724478534366,0.7785671828898274
